Country_Region,january,february,march,april,may,june,july,august,september,october,november,december
Afghanistan,0,30,1141,25152,222720,751685,1079412,1165099,1166401,1246695,1303865,1539551
Albania,0,0,2232,15632,28873,50880,119660,230278,350148,523084,866248,1540509
Algeria,0,5,4823,69497,211394,337819,674286,1185076,1458290,1683631,2074384,2884170
Andorra,0,0,2787,19106,23498,25511,27174,31382,45275,103067,174907,230115
Angola,0,0,48,601,1639,4660,20049,59160,111469,233349,404417,508018
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,61,617,776,1026,2366,2881,2886,3586,4047,4656
Argentina,0,0,6529,77576,275556,1091252,3728771,9244163,17545982,29922509,39307295,47136788
Armenia,0,0,4099,36511,151445,520967,1026463,1286089,1398359,2012415,3480514,4636215
Australia,38,431,35679,188206,217625,222611,361720,711091,800899,848364,832514,872046
Austria,0,8,71340,412163,497709,512093,594822,727822,1043361,2002554,5906701,10003336
Azerbaijan,0,0,1928,35353,101560,326549,794844,1065366,1156339,1403733,2434291,5629069
Bahamas,0,0,99,1578,2933,3100,6403,41780,93104,170339,215718,238552
Bahrain,0,167,7765,48676,210502,575360,1074705,1447593,1856231,2388821,2539313,2780573
Bangladesh,0,0,546,70283,731311,2836656,6049862,8565945,10232791,11965030,13055589,15301465
Barbados,0,0,255,2071,2697,2860,3209,4654,5515,6692,7563,9713
Belarus,0,2,1465,150554,888892,1626878,2029325,2159686,2246305,2701983,3481029,5144839
Belgium,0,26,89009,993613,1688377,1801706,1979139,2409779,2955815,7060830,15807456,19046283
Belize,0,0,18,411,558,633,1208,13861,45432,84329,142741,285706
Benin,0,0,68,1178,6566,17757,46022,62855,68013,76944,85621,97112
Bhutan,0,0,46,167,561,1897,2700,4396,7485,9919,11234,15035
Bolivia,0,0,682,14801,137671,614758,1700323,3085662,3821303,4317118,4298716,4637462
Bosnia and Herzegovina,0,0,2826,33408,68816,95167,241630,494986,721110,1082304,2143108,3166283
Botswana,0,0,7,437,843,2211,14959,37084,73122,144559,261748,398982
Brazil,0,5,37127,1048506,7988757,28366311,62859430,103119970,132259920,161188350,177032068,218447663
Brunei,0,0,1688,4089,4354,4230,4371,4416,4355,4554,4455,4715
Bulgaria,0,0,3576,25790,65828,105731,254933,443823,552189,962977,3044632,5636378
Burkina Faso,0,0,1901,15230,24013,27120,32311,38874,51159,72258,79775,143616
Burma,0,0,55,2408,5780,8018,10335,13862,150402,1037537,2128623,3427806
Burundi,0,0,2,183,889,3219,8597,12907,14171,16650,19096,23099
Cabo Verde,0,0,49,1423,9336,23482,58038,98700,148629,232518,295451,353444
Cambodia,5,29,1225,3583,3804,3885,5473,8173,8247,8809,9085,11076
Cameroon,0,0,1067,30497,109504,295083,477610,570225,606411,662489,690210,788845
Canada,30,337,72826,1016048,2384326,2982234,3418808,3808437,4284119,6155922,9182204,15153799
Central African Republic,0,0,41,444,11339,70765,134487,144485,143052,150498,146812,153026
Chad,0,0,35,797,14051,25427,27639,29949,33155,41806,47873,57171
Chile,0,14,18796,285413,1763115,6291295,9987599,11936049,13147124,15134758,15945192,17938094
China,38008,1633361,2516737,2570262,2700525,2636125,2768931,2892621,2848365,2984648,2944668,3131980
Colombia,0,0,6190,101704,492214,1745908,5680255,14415644,21951355,29377177,35993382,45578807
Comoros,0,0,0,1,1116,5961,10233,12580,13863,15608,17436,20497
Congo (Brazzaville),0,0,97,3419,12105,25460,73328,116513,146292,159997,165519,193968
Congo (Kinshasa),0,0,642,8639,48228,152518,253461,298422,312145,340349,357658,465473
Costa Rica,0,0,2987,17866,26697,58319,309536,890542,1771225,2901099,3734891,4796194
Cote d'Ivoire,0,0,1051,20934,63068,176994,412566,528765,571474,627301,629774,675687
Croatia,0,18,6404,49646,68134,70331,124811,217353,415353,831572,2599232,5539120
Cuba,0,0,1020,25438,56950,67429,75857,102621,145208,192396,228288,305830
Cyprus,0,0,1826,19243,28113,29312,31890,41002,47076,79706,216721,492240
Czechia,0,0,25984,184001,262979,307889,430742,628547,1304611,5443207,13617115,18743896
Denmark,0,5,32722,203547,338822,373368,414692,490789,658184,1116242,1916850,3767540
Diamond Princess,0,10076,21968,21360,22072,21360,22072,22072,21360,22072,21360,22072
Djibouti,0,0,125,16283,54254,132173,153695,165639,161960,169641,169185,178378
Dominica,0,0,79,460,496,538,558,576,718,1061,2033,2696
Dominican Republic,0,0,6140,115932,376401,721962,1543434,2630788,3143556,3727191,4036491,4864830
Ecuador,0,0,16469,321161,1029314,1429745,2217004,3121790,3678159,4714534,5411330,6306084
Egypt,0,16,7140,83386,403993,1406847,2615575,2991066,3038840,3263459,3339298,3859859
El Salvador,0,0,156,5333,41262,122784,347650,692113,819156,969372,1095940,1318177
Equatorial Guinea,0,0,130,2867,21842,46572,95881,150812,149975,157079,153445,161321
Eritrea,0,0,65,1027,1209,3083,7490,9178,10664,13346,15545,24769
Estonia,0,3,7350,41075,55005,58725,62542,68481,83987,125799,241995,612913
Eswatini,0,0,75,843,6137,15782,50503,115702,153585,177725,183907,227464
Ethiopia,0,0,203,2558,12773,106607,300942,998557,1964723,2703736,3089373,3653211
Fiji,0,0,47,464,558,540,765,856,944,1006,1065,1405
Finland,3,64,16931,111197,198200,214188,227978,242958,270515,417387,610476,987620
France,30,466,407934,3456305,5602183,5922501,6640198,8150192,13600208,28773645,59733154,76679130
Gabon,0,0,86,3106,40885,120239,195607,252682,259821,275060,272546,290679
Gambia,0,0,35,233,680,1016,4434,56688,101729,112779,111147,117237
Georgia,0,4,1256,9767,20931,25966,31917,41023,91939,573395,2505524,5970896
Germany,18,526,483911,3737253,5348664,5624689,6224385,6958941,7938368,11370428,23795493,43090120
Ghana,0,0,1146,24029,164583,370733,826344,1296178,1368073,1465886,1501148,1651837
Greece,0,12,12783,63645,86380,95085,121131,222112,424201,802968,2243451,3904326
Grenada,0,0,52,429,674,690,715,744,720,802,1051,2429
Guatemala,0,0,333,7312,67102,329549,1062083,1938713,2495864,3106103,3454791,4047232
