Country_Region,january,february,march,april,may,june,july,august,september,october,november,december
Afghanistan,0,0,21,812,4924,14982,33439,42108,43060,46274,48777,62050
Albania,0,0,91,728,975,1221,3302,6945,10286,13731,19239,31857
Algeria,0,0,324,9197,16901,23600,32720,42428,48964,57192,65248,81232
Andorra,0,0,39,917,1518,1545,1612,1632,1590,1895,2266,2478
Angola,0,0,6,60,85,210,915,2627,4268,7325,9636,11686
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,62,93,90,93,93,90,93,107,143
Argentina,0,0,158,3482,11562,26775,69223,183974,371729,795200,1062692,1278031
Armenia,0,0,12,527,2012,8745,18701,25394,27637,33744,53074,78705
Australia,0,0,190,1817,3071,3075,3996,13006,24475,27949,27212,28153
Austria,0,0,729,12724,21752,23280,25703,27297,28216,35716,76757,186171
Azerbaijan,0,0,37,429,1227,3939,10407,15562,16972,19697,30250,63398
Bahamas,0,0,0,235,341,330,347,792,2105,3612,4721,5125
Bahrain,0,0,41,190,349,1441,3672,5311,6496,8985,10017,10767
Bangladesh,0,0,49,2153,10746,37194,77720,114101,143910,174118,187421,221327
Barbados,0,0,0,122,217,210,217,217,210,217,210,217
Belarus,0,0,1,1171,4986,9483,14953,19080,22796,28380,31736,40022
Belgium,0,0,3145,132664,273995,289543,303682,307232,298143,325069,432647,565082
Belize,0,0,0,46,62,60,62,163,578,1286,2883,6300
Benin,0,0,0,25,73,264,876,1195,1201,1271,1284,1363
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,11,887,5482,20104,62947,126236,212820,260850,265610,280226
Bosnia and Herzegovina,0,0,50,1272,3748,5006,7577,14810,21892,30973,58331,107176
Botswana,0,0,1,30,31,30,36,87,345,610,858,1162
Brazil,0,0,976,66571,510577,1358269,2376217,3351185,4009882,4737708,4990589,5706947
Brunei,0,0,4,30,36,75,93,93,90,93,90,93
Bulgaria,0,0,71,1111,3285,5500,9167,15642,22024,30756,72503,187730
Burkina Faso,0,0,86,921,1555,1590,1643,1687,1679,1960,2028,2276
Burma,0,0,1,110,186,180,186,186,2523,24729,47792,72559
Burundi,0,0,0,18,31,30,31,31,30,31,30,44
Cabo Verde,0,0,8,30,83,218,606,1042,1446,2518,3052,3415
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,24,825,4122,7717,11230,12455,12476,13121,12999,13797
Canada,0,0,780,52789,195050,252111,274880,280939,276619,303463,333871,431959
Central African Republic,0,0,0,0,10,559,1677,1874,1860,1922,1877,1953
Chad,0,0,0,9,1345,2155,2314,2358,2417,2862,3002,3173
Chile,0,0,50,3274,15833,101418,239257,323785,361583,419247,444645,495826
China,889,46417,98577,119571,145824,141280,146263,147881,144241,149221,144623,150333
Colombia,0,0,68,4249,17976,57268,195663,466528,697511,888821,1023710,1233616
Comoros,0,0,0,0,31,117,217,217,210,217,210,224
Congo (Brazzaville),0,0,0,157,427,832,1496,2109,2774,2818,2776,3090
Congo (Kinshasa),0,0,41,659,1628,3414,5994,7344,7969,9000,9653,12964
Costa Rica,0,0,24,122,260,356,1823,9155,19556,35904,46733,60628
Cote d'Ivoire,0,0,3,226,772,1443,2672,3376,3584,3753,3849,4133
Croatia,0,0,36,1043,2877,3178,3808,5123,6960,11578,33031,89251
Cuba,0,0,28,862,2389,2527,2687,2767,3300,3876,3933,4283
Cyprus,0,0,32,344,504,546,589,621,646,753,1096,2595
Czechia,0,0,110,4582,9018,10017,11146,12429,14972,47264,183953,307408
Denmark,0,0,542,9093,16639,17867,18918,19230,19065,21144,23058,31323
Diamond Princess,0,35,234,361,403,390,403,403,390,403,390,403
Djibouti,0,0,0,41,244,1210,1748,1839,1825,1891,1830,1891
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,220,5552,12982,18404,29158,44550,59230,67808,68649,73568
Ecuador,0,0,423,12586,76863,118831,160481,189640,304684,379203,390757,430061
Egypt,0,0,338,6017,19547,54759,125273,159360,170670,189211,193889,218457
El Salvador,0,0,1,181,809,2638,9534,18654,23725,28261,31368,37941
Equatorial Guinea,0,0,0,9,219,660,1594,2573,2490,2573,2542,2640
Eritrea,0,0,0,0,0,0,0,0,0,0,0,12
Estonia,0,0,14,978,1903,2068,2139,1967,1920,2151,2554,5139
Eswatini,0,0,0,15,57,150,701,2187,3035,3546,3558,4358
Ethiopia,0,0,0,73,159,1683,5001,16816,31041,41431,47598,56506
Fiji,0,0,0,0,0,0,1,36,60,62,60,62
Finland,0,0,294,5062,9063,9176,9595,9715,9687,10558,11507,16467
France,0,19,21323,486576,845555,883625,932591,943557,934704,1044207,1355611,1836756
Gabon,0,0,12,45,320,878,1438,1609,1600,1678,1725,1941
Gambia,0,0,9,30,31,41,131,1718,3141,3645,3655,3816
Georgia,0,0,0,99,334,408,478,541,649,4257,22454,59506
Germany,0,0,2779,104085,238873,263620,281197,286057,281267,303816,386407,742372
Ghana,0,0,38,254,820,2018,4478,7284,8725,9609,9647,10201
Greece,0,0,305,3052,4958,5574,6078,7107,9706,15446,38340,117878
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,16,205,1318,12749,42253,73876,90528,107934,118488,139914
Guinea,0,0,0,84,472,779,1205,1616,1898,2153,2235,2450
Guinea-Bissau,0,0,0,5,133,462,795,959,1149,1256,1280,1374
Guyana,0,0,21,183,315,360,547,815,1769,3310,4184,4879
Haiti,0,0,0,80,592,2118,4229,5783,6527,7145,6960,7254
Holy See,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,20,1107,4322,10175,27439,49288,63714,78864,84449,93250
Hungary,0,0,119,4482,13618,16819,18399,18820,20012,35632,95473,229099
Iceland,0,0,27,234,310,300,310,310,300,330,689,864
India,0,0,226,14417,94154,331856,812555,1582152,2476764,3481048,3909675,4468751
Indonesia,0,0,989,14067,35759,66560,122962,192605,272524,383309,459696,600212
Iran,0,171,34200,141323,215665,273942,424660,604984,711109,934034,1253550,1628587
Iraq,0,0,509,2275,4085,25196,107877,183007,245813,313539,349853,390874
Ireland,0,0,296,16660,46680,51089,54277,54960,53636,57316,59595,66477
Israel,0,0,102,4080,8248,9197,13094,23535,37032,66634,82340,94789
Italy,0,102,116616,644171,973585,1028841,1084927,1095146,1069880,1137835,1385115,2046224
Jamaica,0,0,13,147,277,298,310,467,1664,4931,6934,8638
