Country_Region,january,february,march,april,may,june,july,august,september,october,november,december
Afghanistan,0,0,26,2927,24129,184768,688117,843438,949104,1039280,1058724,1207801
Albania,0,0,241,7902,21760,32742,67686,120294,200469,305370,424181,819127
Algeria,0,0,594,24072,109804,233399,467472,826991,1026971,1177057,1373852,1902624
Andorra,0,0,37,5636,18505,23239,24877,26677,32128,69118,143348,209606
Angola,0,0,1,129,466,1668,5708,22283,41899,94176,196092,286751
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,125,561,629,1551,2558,2743,3163,3745,4343
Argentina,0,0,875,19590,84929,335157,1556787,6029870,13413943,24249610,33912316,41776579
Armenia,0,0,205,12116,63541,222445,671719,1059630,1251850,1490885,2395256,3964417
Australia,4,195,2307,91483,195488,205100,256329,381635,614861,679910,669764,697478
Austria,0,0,2883,241616,447388,481557,539229,645006,851070,1521700,4042516,8916607
Azerbaijan,0,0,211,16061,65682,180444,540422,971973,1081353,1242714,1707790,3893078
Bahamas,0,0,8,281,1201,2124,2797,9579,44339,100515,158704,188608
Bahrain,0,0,3031,22965,100507,413158,943774,1345895,1678279,2262718,2472695,2718364
Bangladesh,0,0,131,2059,139045,943347,3155922,5101749,7345683,9323916,10548940,13170237
Barbados,0,0,0,531,1939,2515,2840,3719,4962,6093,7080,8622
Belarus,0,0,340,18498,302001,955147,1742259,2068805,2183138,2464735,2937343,4462040
Belgium,0,13,9055,216946,439785,496435,535284,558058,565779,663604,312851,0
Belize,0,0,0,61,485,497,686,1491,20524,51855,79173,184061
Benin,0,0,1,486,2441,6793,20334,49576,56453,67677,76714,92574
Bhutan,0,0,0,73,166,718,2230,3294,5276,8889,10552,12845
Bolivia,0,0,0,938,14032,127986,520061,1192668,2497080,3218525,3513282,3944610
Bosnia and Herzegovina,0,0,72,9154,41574,64619,113943,300304,507111,761040,1154725,2084772
Botswana,0,0,0,10,470,727,1336,3881,17648,48528,191121,320549
Brazil,0,0,290,400893,3206734,14780735,43861433,82386569,114602710,141354942,159574214,193984367
Brunei,0,0,169,3069,4158,4140,4278,4293,4210,4428,4337,4578
Bulgaria,0,0,92,3572,19087,56205,127894,282890,394051,525515,965073,2744317
Burkina Faso,0,0,161,7840,19258,23827,27517,31233,35199,54133,73482,107617
Burma,0,0,0,178,2799,5413,8264,10109,39272,489009,1586575,2792578
Burundi,0,0,0,44,430,2008,6092,10108,12136,15180,16542,20021
Cabo Verde,0,0,0,30,2731,11083,31237,72642,130031,201618,275934,342166
Cambodia,0,18,136,2586,3760,3772,4267,7347,8202,8655,8745,10225
Cameroon,0,0,23,9186,51653,193759,394819,501215,565958,620832,650791,739138
Canada,0,45,3906,296982,1147850,1822913,2656592,3403493,3744866,5154442,7405385,12349823
Central African Republic,0,0,0,131,463,10142,38882,53571,54869,59554,57720,59644
Chad,0,0,0,200,5006,21365,24737,26533,28634,36323,42993,50071
Chile,0,0,580,107500,642471,4792545,9051341,11106253,12338711,14311907,15219199,17071958
China,810,377072,2008095,2333022,2454360,2384997,2482457,2573031,2553294,2659413,2597861,2739565
Colombia,0,0,109,17078,118612,669011,2606920,9188505,18153031,26172619,32938033,41790357
Comoros,0,0,0,0,257,3403,9131,11682,13041,14969,16514,19119
Congo (Brazzaville),0,0,0,296,2852,9695,19605,49431,103740,120497,125418,159701
Congo (Kinshasa),0,0,10,789,7137,21195,131200,264017,293014,320572,333785,403464
Costa Rica,0,0,29,3490,16677,27768,85332,301277,687362,1745670,2295379,3605171
Cote d'Ivoire,0,0,38,6330,30636,79527,236755,437393,546261,616756,619828,663408
Croatia,0,0,355,17337,57173,63977,91096,168878,346166,638991,2038035,4861455
Cuba,0,0,27,6691,42619,59906,70952,85293,123789,175254,210465,271429
